Table 1
FUNCTION 1: NAVIGATION AT THE DECK OPERATIONAL LEVEL,,,,,,,
No.,Questions,Questions,Choice B,Choice C,Choice D,Answer,
1168,The Night Orders Book includes the following except?,fix intervals,maintain ship's speed at all times,ship's navigation policy,minimum CPA,B,
1169,The normal equipment of every rescue boat shall include __________.,one can opener,compass,one 50-meter line,All of the choices,B,
1170,"The number ""2"",   when spoken on the radiotelephone, should be be pronounced as:",NUM-BER-TOO,BEES-SOH-TOO,DOS-SOH-TU,NEM-MARL-TWO,B,
1171,The number of pulses transmitted per second by a radar transmitter is called:,frequency of transmission,pulse repetition rate,pulse transmission,pulse characteristics,B,
1172,The opposite of the elevated pole is the:,centripetal pole,depressed pole,circumpolar pole,nadir,B,
1173,The owner or Master of a towing vessel shall ensure that each person that directs and controls the movement of the vessel can accurately fix the vessels position using all of the following EXCEPT:,installed navigational equipment,buoys alone,all available aids to navigation,depths soundings and hydrographic contour lines,B,
1174,The position of a 1.6 GHz Inmarsat-EPIRB is:,acquired by the Doppler shift in the signals,by satellites with the use of directing antennas,measured by the “Doppler” shift in the signals,determined by satellites by means of directional aerials,B,
1175,The pressure gradient between the horse latitudes and doldrums runs:,east to west,north to south,northeast to southwest,northwest to southeast,B,
1176,The principle of rudder types before ship construction depends upon the shape in the ship's:,hull,stern,propeller,steering gear,B,
1177,The process of turning a gravity controlled gryroscope into a compass is called:,precession,damping,tilting,torque,B,
1178,"The purpose of the ""set"" hand on an aneroid barometer is to:",adjust the barometer,indicate any change in the reading of the barometer,provide a correction for height above sea level,provide a correction for temperature changes,B,
1179,The region of high pressure extending around the Earth at about 35°N latitude is called the:,prevailing westerlies,horse latitudes,troposphere,doldrums,B,
1180,The required audibility of whistles for vessels 75 meters but less than 200 meters in length as prescribed in Annex 3 is:,one nautical mile,one and a half nautical miles,two and a half nautical miles,two nautical miles,B,
1181,The resulting change of trim may render the rudder less effective and could result in the vessel taking a: ,sinkage,sudden sheer,sudden list,squat,B,
1182,The Rules state that risk of collision shall be deemed to exist:,if one vessel approaches another so as to be overtaking,if the bearing of an approaching vessel does not appreciably change,whenever a vessel crosses ahead of the intended track of another vessel,whenever two vessels are on opposite courses,B,
1183,"The ship's magnetic compass should be especially checked for error following certain circumstances.  From those listed, which is not one of those circumstances?",After using cargoes with magnetic properties,If the ship has visited an areas with a large value of variation,If the ship has been laid up for a period,After using electromagnetic lifting appliances to load or discharge,B,
1184,The shortest distance between any two points on earth defines a:,Rhumb line,Great circle,Small circle,Mercator,B,
1185,The signal for a power-driven vessel required to make on her whistle when the vessels are in sight of one another are prescribed in what rule?,Rule 34(d),Rule 34(a) ,Rule 35 (b),Rule 35(e),B,
1186,"The signals consist of three-letter signals beginning with ""M"" means:",for General Sections,for Medical Sections,"very urgent, important or of very common use",midship section of the vessel require assistance,B,
1187,"The small circle of the celestial sphere parallel to the celestial equator, and transcribed by the daily motion of the body, is called the:",hour circle of the body,parallel of declination,vertical circle of the body,parallel of altitude,B,
1188,"The soft iron spheres used for compensating against the
effect of horizontal soft iron in the ship.",Heeling error corrector,Quadrantal corrector,Permanent magnet corrector,Flinders bar,B,
1189,The speed of sound in water is highest in....,"Cold, fresh water","Cold, highly saline water","Warm, highly saline water","Warm, fresh water",B,
1190,The standard time meridian for description +12 is:,172.5°E,180.0°,172.5°W,165.0°W,B,
1191,The stated limits of the danger area about a mine clearance vessel when engaged in minesweeping operations is:,"Maximum of 1,000 m radius about the vessel ","Minimum of 1,000 m radius about the vessel ","Minimum of 1,000 m diameter about the vessel ","Maximum of 1,000 m diameter about the vessel ",B,
1192,The tabulation data in the Nautical Almanac is for:,2 days,3 days,4 days,1 day,B,
1193,The technique of parallel indexing makes use of....,A Transmit/Receive (T/R) cell in the waveguide,A rotatable mask mounted on the display and marked with parallel lines,Transistors in parallel in the transceiver,A selsyn generator on the scanner,B,
1194,"The term ""trawling"" which means the dragging of the dredge net or other apparatus through the water is defined in which Rule?",Rule 27,Rule 26,Rule 28,Rule 29,B,
1195,The true course between two waypoints is 312deg. T.  Your gyrocompass has an error of 3deg. West and you make an allowance of 4 degree leeway for a west by south wind.  At present you are on auto-pilot. What gyro course should be set on your gyro pilot to make the true course good?,315 pgc,311 pgc,318 pgc,305 pgc,B,
1196,The vertical motion of white light or arm indicates:,affirmative,"affirmative, this is the best place to land ",roger,"roger, this is the best place to land",B,
1197,The vertical positioning and spacing of the two or three all-round lights are specified in what Annex of the Rules of the Road?,Annex II,Annex I,Annex III,Annex IV,B,
1198,"The vessel is infected with infectious diseases, what international flag should be hoisted?",QA,QQ,QB,QC,B,
1199,The VHF radiotelephone frequency for Channel 13 is:                                                                                                                    ,156.70 MHz,156.65 MHz,156.60 MHz,156.80 MHz,B,
1200,The VHF radiotelephone frequency for Channel 14 is:,156.65 MHz,156.7 MHz,156.75 MHz,156.80 MHz,B,
1201,The visibility of lights indicated in the charts is in nautical miles for:,Luminous range of the light,Charted range of the light,Geographic range of the light,height of the observer's eye 15 feet above the water,B,
1202,The visibility of masthead light of a 25-meter trawler is:,6 miles,5 miles,4 miles,3 miles,B,
1203,"The wind direction of the so called ""prevailing winds"" in the North Atlantic Ocean is primarily caused by the:",Hurricanes of the Caribbean ,Earth's rotation,Arctic cold fronts,Gulf Stream,B,
1204,The winter solstice is the point where the Sun is at:,maximum declination north,maximum declination south,0° declination going to northerly declinations,0° declination going to southerly declinations,B,
1205,The word CHANNEL is spelled conforming the international phonetic alphabet:,"Cornelis, Hotel, Alfa, November, November, Edison, Lodewijk","Charlie, Hotel, Alfa, November, November, Echo, Lima","Charlie, Hotel, Alfa, November, November, Erika, language","Chris, Hotel, Alfa, November, November, Edelfa, Lodewijk",B,
1206,The word EIGHT is spelled conforms the International phonetic alphabet.,"Echo, Israel, Golf, Hotel, Tango","Echo, India, Golf, Hotel, Tango","Echo, Istria, Gulf, Hotel, Tango","Echoe, India, Gulf, Hotel, Tango",B,
1207,"the international code of signals, what is the code signal meaning ""I require immediate assistance?",DX,CB,AE,CP,B,
1208,The radar control that shortens all echoes on the display and reduces clutter caused by rain or snow is the __________.,Sensitivity time control (sea clutter control),Fast time constant (differentiator),Brilliance control,Receiver gain control,B,
1209,There are three levels of radio traffic which have priority over ordinary traffic. Which among these is TRUE in their decreasing order?,"SECURITE, MAYDAY, PAN-PAN","MAYDAY, PAN-PAN, SECURITE","PAN-PAN, MAYDAY, SECURITE","MAYDAY, SECURITE, PAN-PAN      ",B,
1210,"These are methods of Collision Avoidance, except:",Preserving course and altering speed,"Preserving course, maintaining speed","Altering course, maintaining speed",Simultaneous alternation of course and speed,B,
1211,This is the ships electronic data base used in the ECDIS Sytem:,Digital Chart,Electronic Nautical Chart,Chart data base,maps,B,
1212,"This is the tabulated interpolated for increments of latitude, declination or hour angle.",Apparent altitude,Computed altitude,True altitude,Observed altitude,B,
1213,This Rule states that any subsequent alteration of the bearing between two vessels shall not make the overtaking vessel a crossing vessel within the meaning of these Rules of relieve her of the duty keeping clear of the overtaken vessel until she is finally past and clear.,Rule 10 ( I ),Rule 13 ( d ),Rule 13 ( b),Rule 13 ( a ),B,
1214,This rule states that when two power driven vessel are meeting on reciprocal or nearly reciprocal courses so as to involve risk of collision each shall alter he course to starboard so that they will pass port to port.,Rule 14 (c),Rule 14 (a),Rule 14 (b),Rule 14 (d),B,
1215,"This subsystem of the ""Integrated Bridge System"" which controls the processing of information from the ship's navigation sensors and the flow of information between various system components.",Chart data base,Computer processor and network,Control system,System display unit,B,
1216,Three short blasts on a whistle means:,I am going astern,I am a operating astern propulsion,I plan to maneuver astern,I am moving astern,B,
1217,To find a magnetic compass course from a true course you must apply:,deviation,deviation and variation,variation,magnetic anomalies (local disturbances),B,
1218,To find the specific phase characteristic of a lighthouse on a sound of the United States you would use the:,American Practical Navigator,Light List,Nautical Chart Catalog,U.S. Coast Pilot,B,
1219,"To recover a man overboard in a racetrack turn, the vessel is steadied for the SECOND time after a turn of how many degrees from the original heading?",60 degrees,360 degrees,135 degrees,180 degrees,B,
1220,Tropical cyclones are classified by form and intensity. Which system does not have closed isobars?,Hurricane,Tropical disturbance,Tropical depression,Cyclone,B,
1221,Two navigational hazards are located near each other but each is marked by an individual cardinal buoyage system. The buoys of one cardinal system may be identified from the other system by:,The differing light colors,The direction of the topmarks apex,The color band of Yellow and White stripes in different layers,One system using horizontal stripes while the other system a vertical stripes  ,B,
1222,Two power driven vessels are meeting on a clear day and will pass less than half a mile apart. In this situation whistle signals:,must be exchanged,must be exchanged if passing agreements have not been made by radio,may be exchanged,must be exchanged only if course changes are necessary by either vessel,B,
1223,Two prolonged blasts followed by one short blast on the whistle is a signal which would be sounded by a vessel.,anchored,overtaking another in a narrow channel,engaged in mineclearance,engaged in fishing,B,
1224,Two vessels are abreast of each other and passing port to port in a confined waterway.  What would you expect as you approach the screws  of the other vessels?,Your speed would significantly increase,Your bow would sheer towards the other vessel,Your draft would significantly decrease,Your bow would sheer away from the other vessel,B,
1225,"Under Annex III of the Collision Regulations, the sidelights of a vessel of 20 meters or more in length shall be fitted with inboard screens painted:",blue,matt black,the appropriate red and green colors,enamel black,B,
1226,"Under CHAPTER 3 SECTION 2: REQUEST FOR MEDICAL ASSISTANCE of the International Code of Signals (ICS), what three letter medical code would mean “I request urgent medical advice”.",MAQ,MAA,MAE,MAJ,B,
1227,"Under IALA-B Buoyage System, when leaving the port (Outbound), a buoy that should be left to port will be:",Black,Red,Green,Yellow,B,
1228,"Under Rule 35 (g) a vessel aground may sound an appropriate whistle signal, in addition to her normal fog signal.  What would be an appropriate whistle signal in this context?                                                                                                           I. International Code signals ""U""                                                                                                                         II. International Code signals ""L""",I only,Either I or II,II only,Neither I nor II,B,
1229,"Under the IALA cardinal system, a mark with a quick light showing 9 flashes every 15 seconds indicates that the safest water is on the:",north side of the mark,west side of the mark,east side of the mark,south side of the mark,B,
1230,"Under the IALA cardinal system, a mark with quick white light showing 3 flashes every 10 seconds indicates that the safest water in the area is on the:",west side of the mark,east side of the mark,north side of the mark,south side of the mark,B,
1231,"Under the IALA-A Buoyage system, a buoy marking the port hand of the channel when approaching from seaward may NOT have a:",red light,conical shape,group-flashing light,square topmark,B,
1232,"Under the Inland Navigation Rules, what is the meaning of the two short blasts signal used when meeting another vessel?",I am turning to starboard.,I intend to leave you on my starboard side.,I am turning to port.,I intend to leave you on my port side.,B,
1233,"Under the principle of magnetism on board ships, the permanent magnetism on a magnetic compass is caused by _______.",The vertical component of the Earths magnetic field acting on the vertical soft iron,The Earths magnetic field affecting the ships hard iron during ship construction,Operation of electrical equipment and generators near it ,The horizontal component of the Earths magnetic field acting on the horizontal soft iron,B,
1234,"Under the regulations of GMDSS, channel 70 is used for:",distress traffic,on scene communications,navigation information,meteorological information,B,
1235,Under what rule in the Rules of the Road contained this scenario when two sailing vessels are approaching one another so as to involve risk of collision?,Rule 13,Rule 12,Rule 15,Rule 18,B,
1236,"Upon hearing the abandon ship signal, you put on your life jacket and report to your station. After the cover is removed you board your open lifeboat. The FIRST thing to do is to __________.",lift the brake handle,put the cap on the drain,release tricing pendants,release the gripes,B,
1237,"Using IMO SMCP definition of terminologies, a “Close-coupled towing” is…..",A method of towing vessels through the tropical seas by means of powerful tugs with a special stern notch suited to receive and hold the bow of the vessel to be towed ,A method of towing vessels through polar ice by means of icebreaking tugs with a special stern notch suited to receive and hold the bow of the vessel to be towed ,A method of towing vessels used in the Canadian waters by means of icebreaking tugs with a special battery ram suited to receive and hold the bow of the vessel to be towed ,A method of towing vessels through polar ice by means of fork reinforced tugs with a special stern notch suited to receive and hold the bow of the vessel to be towed ,B,
1238,"Using IMO SMCP in shore-to-ship and ship-to-shore communication,  how do you  respond when the information requested is not immediately available.","Say: ""Stand by"" - followed by a two tone signal until the information will be available","Say: ""Stand by"" - followed by the time interval within which the information will be available","Say: ""Stand by"" - followed by a long pause and one long tone until the information will be available","Say: ""Stand by"" - followed by a waiting signal until the information will be available",B,
1239,"Using IMO SMCP in shore-to-ship and ship-to-shore communication,  how do you  response when the information requested is not immediately available.","Say: ""Stand by"" - followed by a two tone signal until the information will be available","Say: ""Stand by"" - followed by the time interval within which the information will be available","Say: ""Stand by"" - followed by a long pause and one long tone until the information will be available","Say: ""Stand by"" - followed by a waiting signal until the information will be available",B,
1240,"Using IMO SMCP in shore-to-ship and ship-to-shore communication, how do you correct a wrong message .","Example: ""My present speed is 14 knots - Correction, my present speed is 12 knots, knots.""","Example: ""My present speed is 14 knots - mistake. Correction, my present speed is 12, one-two, knots.""","Example: ""My present speed is 14 knots - mistake. my present speed is one-two knots, knots.""","Example: ""My present speed is 14 knots - mistake. Correction, my present speed is one-two, knots.""",B,
1241,"Using VHF 16, what would you say in a SAFETY call and message?","Pan-Pan Pan-pan Pan-Pan  All stations, all stations, all stations. This is SHIP X, SHIP X, SHIP X. For Navigational Warning listen _ _ (working frequency) This is SHIP X","SECURITE SECURITE SECURITE  All stations, all stations, all stations. This is SHIP X, SHIP X, SHIP X. For Navigational Warning listen _ _ (working frequency) This is SHIP X","MAYDAY MAYDAY MAYDAY All stations, all stations, all stations. This is SHIP X, SHIP X, SHIP X. For Navigational Warning listen _ _ (working frequency) This is SHIP X",Any of the choices,B,
1242,"Velocity of a radio wave is affected when it passes from one medium to another of different density, causing a change of direction to occur. This is known as______. ",Diffraction ,Refraction,Attenuation,Absorption,B,
1243,"Vessel ""A"" is overtaking vessel ""B"" on open waters and will pass without changing course. Vessel ""A"":",should sound two short blasts,will not sound any whistle signals ,should sound one long blast,should sound the danger signal ,B,
1244,"Vessel “A” is underway and towing, which is hampered by her tow, when vessel “B” is sighted off the starboard bow. Which statement is True?",Vessel “A” is the stand-on vessel because it is to the port side of vessel “B”,Vessel “A” is the stand-on vessel because it is towing and hampered by her tow,Vessel “B” is the stand-on vessel because it is to starboard of vessel “A”,Neither vessel is the stand-on vessel,B,
1245,Vessels engaged in pair trawling show what day signals?,"International code flag ""P"" flown at the foremost","International code flag ""T"" flown at the foremost",No necessary signal to be shown,"International code flag ""PT"" flown at the foremost",B,
1246,What  term do you designate the wind wherein the isobars are curved?,Curved wind,Gradient wind,Surface wind,Isobaric wind,B,
1247,What actions should the ECDIS user take when both the paper chart and the BA raster chart  displayed are based on European 1950 datum with a WGS-84 offset note provided?,Switch the GPS to EUR 1950 datum if available,Check to see if the known offset is being applied to the displayed raster chart.,"no action needed, the equipment automatically adjust",Action not necessary,B,
1248,What additional light is exhibited by an air-cushion vessel operating in the non-displacement mode?,An all-round occulting yellow light,An all-round flashing yellow light,An all-round alternating yellow light,No other lights,B,
1249,What coefficient is proportional to the sine of the compass heading:,"""D"" Coefficient","""B"" Coefficient","""A"" Coefficient","""C"" Coefficient",B,
1250,What day signal may be shown by vessels engaged in pair trawling?,"International code flag ""P"" flown at the foremast","International code flag ""T"" flown at the foremast",No necessary day signal to be shown,"International code flag ""Z"" flown at the foremast",B,
1251,"What distinguishing mark does a vessel not under command, but underway, carry by day?","Two black balls or shapes, each not less than 0.5 meter in diameter","Two black balls or shapes, each not less than 0.6 meter in diameter","Two black balls or shapes, each not less than 1 meter in diameter","Two black cones, each not less than 0.6 meter in diameter",B,
1252,What do you call the marker in the radar PPI which the operator can move this radial guide line to measure direction to the incoming target?,VRM,EBL,Guard zone,Heading marker,B,
1253,What do you call the system that has been established to improve the safety in navigation in converging area and in areas where traffic density is great and other factor might hamper the safe passage of the vessel?,Ships Routeing System used in river approaches  only, Ships Routeing,Buoyage System,Traffic Lanes System,B,
1254,What does not contribute to the commercial GPS receiver position error?,Satellite clock,Ship's speed,Atmospheric/Ionospheric propagation,Satellites' orbits,B,
1255,"What does the description ""RACON"" beside an illustration on a chart mean?",Radar conspicuous beacon,Radar transponder beacon,Radar circular radio beacon,Radar calibration beacon,B,
1256,"What does the signal ""AS"", when used in signaling by the international code of signals mean?",Repeat this signal,Wait,Over,Finished with transmission,B,
1257,"What does this signal displayed by a small craft signify when in passage up a river, she is showing a rigid replica of the international code flag ""A""? ","It signifies,  ""I am maneuvering with difficulty, keep out of my way""","It signifies,  ""I have a diver down, keep well clear at slow speed""","It signifies,  ""I have a diver down, I am proceeding at maneuvering speed, keep clear of me""","It signifies,  ""I have a diver down, I require assistance""",B,
1258,What is achieved by carefully selecting No Go Area on the nautical chart for the Ships Passage Plan:,It indicates all areas where the vessel should not go when loaded.,It indicates all areas where the vessel cannot go with present draft.,It indicates all areas where vessel cannot go on deepest draft.,It indicates all areas where vessel is advised not to go on deepest draft.,B,
1259,"What is an earth-centered, earth-fixed coordinate system which can be converted to any of 41 designated reference systems?",Water Geodetic System (WGS-72),World Geodetic System (WGS-72),Sea Geodetic System    (SGS-72),Space Geodetic System (SGS-72),B,
1260,What is one of the FIRST actions you should take after abandoning and clearing away from a vessel?,Prepare for arrival of rescue units.,Identify the person in charge.,Arrange watches and duties.,Gather up useful floating objects.,B,
1261,What is one of the FIRST things you would do on boarding an inflatable liferaft?,Issue anti-seasickness medicine.,Pick up other survivors.,Post a lookout.,Open equipment pack.,B,
1262,"What is the category of a chart with a scale of 1:80,000?",sailing chart,coastal chart,general chart,harbor chart,B,
1263,What is the day signal for a vessel proceeding under sail and under power?,Signal prescribed in Rule 23(d),Signal prescribed in Rule 25(e),Signal prescribed in Rule 25(a),Signal prescribed in Rule 23(a),B,
1264,"What is the direction of rotation of tropical cyclones, tropical storms and hurricanes in the Northern Hemisphere?",Clockwise and outward,Counterclockwise and inward,Counterclockwise and outward,Clockwise and inward,B,
1265,"What is the Distress, Safety and Calling Channel?",Channel 13,Channel 16,Channel 70,Channel 69,B,
1266,What is the equivalent of 5deg. 54' in time units?,20 min. 16 sec.,23 min. 36 sec.,25 min. 54 sec.,30 min. 27 sec.,B,
1267,What is the FIRST thing the rescuer must do if the patient vomits during mouth-to mouth resuscitation?,Switch to mouth-to-nose ventilation,"Turn the patient's body to the side, sweep out the mouth and resume mouth-to-mouth ventilation",Ignore it and continue mouth-to-mouth ventilation,"Pause for a moment until the patient appears quiet again, then resume ventilation mouth-to-mouth",B,
1268,What is the fog-signal for a minesweeper?,MIKE,DELTA,OSCAR,QUEBEC,B,
1269,"What is the fog-signal for a vessel being towed (last vessel of the tow, if manned)?",ECHO,BRAVO,No signal required,PAPA,B,
1270,What is the frequency of the low frequency pulse of the echo sounder?,27.5 kHz,24 kHz,18 kHz,33.3 kHz,B,
1271,What is the highest sustained surface wind speed of a Tropical Storm?,28 to 50 knots,34 to 63 knots,30 to 55 knots,more than 60 knots,B,
1272,What is the meaning of the signal QU RQ when sent by the international code of signals?,Interrogative,Is anchoring prohibited?,This is the call sign of a vessel registered in Latvia.,Will you lead me to a safe anchorage?,B,
1273,"What is the meaning of the standard wheel order ""Steady"" given by the master?","Check the swing o
f the vessel ́s head in a turn",Reduce swing as rapidly as possible,Reduce amount of rudder to 5°/10°/15°/20° and hold,Avoid allowing the vessels head to go to port/starboard,B,
1274,"What is the meaning of the two white lights displayed by a fishing vessel, visible all round the horizon, vertically disposed, in addition to normal fishing lights?",I am grabbing nets ,I am shooting nets ,I am hauling nets ,any of the choices is correct,B,
1275,What is the most common reason for error in the use of ECDIS that leads to accidents?,All of the choices,A chain of errors,XTE alarm fault,Poor radar overlay,B,
1276,What is the most important source of information to be used in correcting charts and keeping them up to date?,Fleet Guides,Notice to Mariners,Sailing Directions,Pilot Charts,B,
1277,What is the nature of the beam transmitted by echo sounder?,Parabolic,Directional,Hyperbolic,Linear,B,
1278,What is the position obtained by applying only your vessel's course and speed to a known position?,Fix,Dead-reckoning,Probable position,Applied position,B,
1279,What is the required mode when ENC data is available?,Any Mode,ECDIS Mode,RCDS Mode,Vector mode,B,
1280,What is the required whistle signal for a power- driven vessel leaving a dock or berth?,Two short blasts,One prolonged blast,Two prolonged blasts,One short blast,B,
1281,What is the vertical distance between the shapes shown by a 50-meter passenger ferry that has lost her propulsion while underway and she has to display her signals by day?,not less than 2.5 m,not less than 1.5 m,not more than 1 m,No specified vertical spacing,B,
1282,What is TRUE of the history display of a target's past positions on an ARPA?,It provides a graphic display to emphasize which vessel is on a collision course,"In the true presentation, it provides a quick visual check to determine if a vessel has changed course",The display is one of the primary inputs and must be in use when using the trial maneuver capability,"It provides a graphic display of a target vessel's relative course, speed, and CPA",B,
1283,What is TRUE when operating in fog and other vessels are detected by radar?,You should make an ample change to port for a vessel crossing on the starboard bow.,You should maneuver in ample time if a close-quarters situation is developing.,You should determine the course and speed of all radar contacts at six minute intervals.,Long-range scanning will provide early warning of ALL other vessels within the radar's range.,B,
1284,"What kind of vessel with three all-round green lights in the fore mast and that she should not be approached at a distance of not less than 1,000 meters? ",Submarine conducting an exercise,Mine clearing operation,Refueling while underway,Diving operations,B,
1285,What language shall the issuing country use in  medical certificates?,English,Official language of the issuing country,Spanish,French,B,
1286,What lights and shapes are to be shown if a vessel is aground?,Lights prescribed in Rule 30(a),Lights prescribed in Rule 30(d),Lights prescribed in Rule 31(a),Lights prescribed in Rule 31(b),B,
1287,"What magnetic compass corrector(s) CAN be set while the
vessel is on a heading of magnetic north or magnetic south?",Quadrantal spheres,Heeling magnet,Flinders bar,Fore and aft magnets,B,
1288,"What precautions would you take when approaching squadrons, convoys, aircraft carriers under way or at anchor, and other warships at sea? ",Stop your vessel as soon as you see them approaching,Adopt early measures to keep out of the way,Turn reciprocal to your original course,"Keep course and speed, no precautions necessary",B,
1289,"What publication has information on the climate, distances, navigation regulations, outstanding landmarks, channels and anchorages of Long Island Sound?",Light List,Coast Pilot,Sailing Directions,Pilot Chart,B,
1290,What rule applies when inspite all the precautions made the vessel can deviate from these rules necessary to avoid immediate danger?,"Rule 2(b,ii)",Rule 2(b),"Rule 2(b,i)","Rule 2(b,iii)",B,
1291,What rule indicates the actions of a give-way vessel?,Rule 13,Rule 16,Rule 14,Rule 15,B,
1292,"What should be your course to steer to assist the vessel in distress at a position Lat. 31deg. 38' N; Long. 052deg. 40' W and your present position is Lat. 31deg. 38' N, Long 055deg. 40' W?",270deg. T,090deg. T,289deg. T,012deg. T,B,
1293,What should you do if you are forced to abandon ship in a lifeboat?,Head for the nearest land,Remain in the immediate vicinity,Head for the closest sea-lanes,"Vote on what to do, so all hands will have a part in the decision",B,
1294,What signal is made by a sailing vessel before reaching a bend in river?,The signal prescribed in Rule 34(a),The signal prescribed in Rule 34(e),The signal prescribed in Rule 34(c),The signal prescribed in Rule 34(d),B,
1295,"What special distinguishing lights must a vessel show when not under command, but underway?",Three red lights,Two red lights,Two red lights and a masthead light,Two red lights and all navigational lights,B,
1296,"What will cause the ARPA to emit a visual alarm, audible alarm, or both?",A target being initially detected within a guard zone,A tracked target entering your preset CPA-TCPA limits,An acquired target entering into a guard zone,A tracked target lost for one radar scan,B,
1297,What would an OIC-NW should do prior to relieving an officer in charge of navigational watch?,Report to the bridge just on time,Report to the bridge in order to adjust his eyesight for at least 10 mins prior to taking the watch,Report to the bridge in order to familiarize himself with the instruments and equipment,Read and sign the order book and check vessel's position,B,
1298,What would you use a gnomonic chart for during Passage Planning:,To show section of the chart for which suitable passage chart were not available.,To plot great circle courses and waypoints.,To plot rhumbline courses and waypoints,Show the complete passage in one chart.,B,
1299,"When a low pressure area is approaching, the weather generally:",improves,worsens,remains the same,is unpredictable,B,
1300,"When a ship is abandoned and there are several liferafts in the water, one of the FIRST things to be done is __________.",transfer all supplies to one raft,secure the rafts together to keep them from drifting apart,transfer all the injured to one raft,separate the rafts as much as possible to increase chances of detection,B,
1301,"When abandoning ship, after launching the motor lifeboat you should __________.",go in one direction until fuel runs out,stay in the immediate area,plot a course for the nearest land,take a vote on which direction you should go,B,
1302,"When anchoring using both anchors and you want to arrest the swing of the stern to port, what should be done? ",Hold starboard anchor,Hold port anchor,Slack both anchors,Hold both anchors,B,
1303,"When does a vessel not under command, or a vessel laying or picking up a submarine cable display sidelights?",Even if not making way,Only if making way through the water,Anytime when underway,Even if drifting,B,
1304,"When drawing a weather map and an isobar crosses a front, the isobar is drawn:",perpendicular to the front,kinked and pointing away from the low,kinked and pointing towards the low,kinked and pointing towards the high for a warm front only,B,
1305,"When fixing a vessel's position by radar, a navigator:",should never use radar bearings,can use radar information from one object to fix the position,should only use radar bearings when the range exceeds the distance to the horizon,must use information from targets forward of the beam,B,
1306,When in charge of a navigational watch using ECDIS the mariner should:,Take any steps necessary to permanently disable audible alarms.,"Check ECDIS accuracy as often as practical, using methods independents of ECDIS to determine vessel position","Petition company management for additional duties, since all essential navigation functions are now handled by ECDIS.",Remain stationed at the ECDIS at all times,B,
1307,When may a call for radio medical advice be preceded by the urgency-signal?,Never,Always,Maybe,Seldom,B,
1308,When navigating in ‘deep water you experience a shallow sounding which is not indicated on the chart. What would you do:,Take the depth sounding by using sounding lead.,"I would order the navigator to note the position of the reduced sounding and report the same by means of the Hydrographical Note (H102), found in the WNM and in the ""Mariners Handbook"".",Calibrate the fathometer weekly or monthly.,Set the draft warning to the maximum depth in the echo sounder.,B,
1309,"When pushing ahead in fog, a vessel towing  shall sound:",one prolonged blast,one prolonged and two short blasts,one short blast,two prolonged blasts,B,
1310,"When relieving the helm, the new helmsman should know the:",Maximum rudder angle previously used,Course per magnetic steering compass,Gyro error,Variation,B,
1311,When rendering assistance to personnel in the water a SAR helicopter utilizes a rescue sling for most extractions. In which case would the use of a litter be preferred?,When the person is not trained in the use of the rescue sling,When the person is suffering from hypothermia,When the person is suffering from fatigue,When the person has a pacemaker and static discharge is a concern,B,
1312,When should an EPIRB be turned off in an actual distress situation?,After three minutes of operation,"Once rescued, or the batteries are exhausted",For three minutes every hour on the hour,Once the rescue craft is in sight,B,
1313,When should you first have any food or water after boarding a lifeboat or liferaft?,After 12 hours,After 24 hours,Within 48 hours,Some food and water should be consumed immediately and then not until 48 hours later.,B,
1314,"When spoken on the radiotelephone, how should the letter ""W"" be pronounced?",DUB A U,WISS KEY,WI NE,WOO LF,B,
1315,"When starting to prepare a voyage plan, one of the first things you should do is:",Start with a small scale chart to visualize the entire route.,Ensure each waypoint contains information essential to the autopilot,Mark off the no go areas,Draw in a draft of the track,B,
1316,"When steering to a desired course, the point wherein the helm must be applied to obtain a required course alteration or change in heading is called:",Course change,Wheel over position,Steady as she goes,Rudder amidships,B,
1317,"When the fast time constant (differentiator) control of a radar is turned ""ON"", it will:",enhance the weak target echoes and brighten them on the PPI,reduce clutter over the entire PPI by shortening the echoes,only suppress weak targets to a limited distance from the ship (sea cutter),reduce the beam width to provide a map-like presentation for navigation,B,
1318,"When two vessels are in sight of one another and NOT in or near an area of restricted visibility, any of the following signals may be given EXCEPT:","one prolonged, one short, one prolonged, and one short whistle blasts",four short whistle blasts ,a light signal of at least five short and rapid flashes,two short whistle blasts ,B,
1319,"When underway and proceeding ahead, as the speed increases the pivot point tends to _____________.",move aft,move forward,move lower,remain stationary,B,
1320,"When using an ARPA, what should you consider in order to evaluate the information displayed?",The target vessel's generated course and speed are based solely on radar inputs.,Navigational constraints may require a target vessel to change course.,The trial maneuver feature will automatically determine a course that will clear all targets.,You cannot determine if a small target has been lost due to sea return.,B,
1321,"When using GPS, how many theoretical position lines are required for a three-dimensional fix that takes into account altitude:",3,4,1,2,B,
1322,"When using the ARPA in heavy rain, which action should you take?",Increase the radar gain to pick up weak echoes through the rain.,Navigate as though the effective range of the radar has been reduced.,Increase the range of the inner and outer guard rings.,Increase the STC setting to reduce close-in spurious signals.,B,
1323,"When using the rain water collection tubes on a liferaft, the first collection should be __________.",saved to be used at a later time,poured overboard because of salt washed off the canopy,used to boil food,passed around so all can drink,B,
1324,"When would a power-driven vessel under way, change her fog signal from one prolonged blast to two prolonged blast at intervals of not more than two minutes?",Upon the order is given to stop engine,When the vessel has stopped and is making no way through the water ,"When the engine telegraph indicates ""STOP ENGINE"" ",When the engine broke down,B,
