Table 1
FUNCTION 3: CONTROLLING OF OPERATION OF THE SHIP AND  CARE FOR PERSONS ON BOARD AT THE DECK OPERATIONAL LEVEL,,,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer,
953,"If a diabetic suffers an insulin reaction and is conscious, he should be given:",soda crackers and water,orange juice or a candy bar  ,an ounce of whiskey,a glass of milk,B,
954,"If a man says that all government employees are corrupt, what is he trying to show?",Opinion,Attitude,Impression,Belief,B,
955,"If a person suffers a simple fracture of a limb, you should:",attempt to set the fracture,prevent further movement of the bone,apply a tourniquet without delay,alternately apply hot and cold compresses,B,
956,"If an engine shuts down due to high jacket water temperature, what action should be taken?",Open crankcase explosion covers,Allow engine to cool gradually,Slowly add cool water to the expansion tank,Back flush the cooling water system,B,
957,"If an inflatable liferaft is to be released manually, where should the operating cord be attached before throwing the raft overboard?",Do not attach the cord to anything but throw it overboard with the raft container,Attach the cord to a fixed object on the ship,You should stand on the cord,"Attach the cord to the special pad eye on the ""raft davit launcher""",B,
958,"If an inflatableliferaftis overturned, it may be righted by __________.",pushing up from under one end,standing on the inflating cylinder and pulling on the straps on the underside of the raft,filling the stabilizers on one side with water,releasing the CO2 cylinder,B,
959,"If deck cargo is carried, it should be stowed in such a way that it:",is now higher than 12 inches above the deck,does not block access to the fire station hydrant,will cover no more than 25 percent of deck space,will be easily visible from the bridge,B,
960,"If it is necessary to remove a victim from a life threatening situation, the person giving first aid must:",pull the victim by the feet,avoid subjecting the victim to any unnecessary disturbance during movement ,not move the victim to a another location until all injuries have been assessed,place the victim on a stretcher before attempting removal,B,
961,If someone suffers a heart attack and has ceased breathing you should:,"Immediately give a stimulant, by force if necessary",Cardio Pulmonary Resuscitation  should be applied immediately,Administer oxygen through Heimlich Maneuver technique immediately,Make the victim comfortable in a bunk,B,
962,"If the chemical material is a mixture, what must the Material Safety Data Sheet (MSDS) identify? ",Paints or coatings that are safe to use with it.,The name of each hazardous ingredient.,"Other similar mixtures of liquids, solids or gases.",The quantity of mixture,B,
963,"If the ship is hogging, the pillars will be under which of the following stresses?",Sheer,Tensile,Compression,Twisting ,B,
964,"If there's a fire aboard your vessel, you should FIRST:",notify the Coast Guard,sound the alarm,have passengers put on life preservers,cut off air supply to the fire,B,
965,"If you are fighting a fire below the main deck of your vessel, which action is most important concerning the stability of the vessel?",Shutting off electricity to damaged cables,Pumping fire-fighting water overboard,Maneuvering the vessel so the fire is on the lee side,Removing burned debris from the cargo hold,B,
966,"If you are transferring fuel from the storage tanks to the day tanks by means of an electric fuel oil transfer pump and  the motor catches fire, you would FIRST __________.",secure the fuel manifold,shut off power to the pump,shut off the power ventilation,spray water on the fire,B,
967,"If you continue to wear extra clothing when entering the water after abandoning your vessel, it will:",weigh you down,preserve body heat,reduce your body heat,make it more difficult to breathe,B,
968,"If you have a fire in the engine room, your FIRST act should be to:",discharge the fixed CO2 system into the engine room,secure the fuel supply and ventilation to the engine room,maneuver your vessel into the wind,have all of your crew get into the liferaft,B,
969,"If you subtract KG from KM, the result is:",height of the righting arm,metacentric height,height of the metacenter,height of the center gravity,B,
970,"If your vessel has a list to port due to negative GM and off-center weight, the first corrective measure you should take is to:",move port-side main-deck cargo to the starboard side,fill the starboard double-bottom,pump water from the port double-bottom to the starboard double-bottom,pump water from the port double-bottom over the side,B,
971,"If your vessel has a starboard list after taking on fuel, you would transfer fuel.",To starboard,To port,Forward,Aft,B,
972,"If your vessel is aground at the bow, it would be preferable that any weight removals be made from the:",mid-section,bow,after section of the vessel,port section,B,
973,"In a fixed carbon dioxide extinguishing system for a machinery space, designed WITH a stop valve in the line leading to the protected space, the flow of CO2 is established by actuating:",one control,two controls,three controls,four controls,B,
974,"In accordance with MARPOL 73/78 Annex V, the discharge of what category of garbage is prohibited in any waters? ","Unground paper products, rags, glass, metal, bottles, and crockery.",Plastic or garbage mixed with plastic.,"Floating dunnage, lining, or packing material.","Ground paper products, rags, glass, metal, bottles, and crockery.",B,
975,"In accordance with MARPOL 73/78 Annex V, the discharge or disposal of garbage on vessels of 400 gross tons and above engaged in commerce requires recordkeeping. Which of the following discharge or disposal operations requires a detailed description of the contents of the garbage?",Incineration on the ship.,Discharge overboard to sea.,Discharge to a reception facility.,Discharge to another ship.,B,
976,"In accordance with SOLAS, which of the following best describes the obligation of the Master concerning cargo hold watertight doors? ",the Master shall ensure that an effective system of maintenance on the doors is being followed,the Master shall ensure that the doors are secured and an entry is made in the log book prior to departure,the Master shall ensure that the operation of the doors is only conducted in the presence of an Officer,the Master shall ensure that the doors are tested daily and an entry is made in the log book,B,
977,"In addition to the lifejackets stowed in places that are readily accessible, lifejackets must also be stowed at______________.",each fire station,each manned watch station,the mess room,eachlifeboat,B,
978,"In each inflatableliferaft, what equipment is provided to make quick, emergency, temporary repairs to large holes in the raft?",Glue and rubber patches,Several various-sized sealing clamps,No equipment is provided.,Self-adhesive rubberized canvas patches,B,
979,"In maintaining fire hoses, you should __________.",keep exterior linings damp by periodic wash downs,keep them thoroughly drained after each use ,keep them partially filled with fresh water,take his blood pressure,B,
980,"In managing a situation involving multiple injuries, the rescuer must be able to:",provide the necessary medication,rapidly evaluate the seriousness of obvious injuries,accurately diagnose the ailment or injury,prescribe treatment for the victim,B,
981,In order for the automaticlifeboatdrain to operate properly __________.,the cap should be removed to drain the boat when it is waterborne,the cage must be free of rubbish or the ball may not seat properly,there is an automatic ball check located in a siphon tube,the small lever to release the rubber ball float must be turned counter-clockwise,B,
982,"In order to prevent excessive accelerations in rolling in the stability of timber cargo, percentage of the breadth that metacentric height not to exceed.",4%,3%,5%,9%,B,
983,"In order to strengthen bulkhead, what vertical support is to be used?",Panels ,Stiffeners,Girders,Stringer,B,
984,"In reference to SOLAS II-A, Regulation 4, the standard nozzles sizes shall be 12mm, 16mm and ___________ mm.",18,19,20,17,B,
985,"In reference to SOLAS III Regulation 35, the rocket parachute flare shall have a red color and luminous intensity 30,000 cd in a period of ___________ seconds.",200,40,50,100,B,
986,"In reference to SOLAS III, Regulation 39, inflation of the liferaft shall take place within ________ minutes in ambient temperature of -30 deg C.",2,3,4,5,B,
987,"In ship construction, the shell plating is arranged in strakes. The garboard strake is located:",at the very bottom center,at each side of the keel,at the turn of the bilge,just under the sheet line,B,
988,"In ship construction, the strakes are given letter designations beginning with the letter ‘A. The “A” strake is adjacent to the:",deck edge strake,keel,turn of the bilge strake,sheer strake,B,
989,"In ship stability theory, the original equilibrium position is always “unstable” when ______.",Metacentric height is positive,Metacentric height is negative,KM is larger than KG,KG and KM are equal in value,B,
990,"In the event of a small bunker oil spill on deck occurring while fueling, you should:",wash down the area immediately with a fire hose,cover the area with absorbent material,put a chemical on the oil spill point,"leave it, it is just small leakage",B,
991,"In the first 24 hours after abandoning a vessel, water should be given only to personnel who are:",thirsty,sick or injured,wet,awake,B,
992,"In the presence of external forces, the center of buoyancy of an inclined vessel is vertically aligned with the:",center of gravity,metacenter,center of flotation,keel,B,
993,"In using a dry chemical agent which of the following choices should it be directed? ",Flame center ,Base of the flames ,Above the flames  ,In the smoke ,B,
994,"In using the load on top method to control pollution, what action should you take after transferring all dirty ballast to the slop tank.",the clean tanks should be ballasted,the slops should be allowed time to settle,the slops should be emptied when near to ship alongside,the clean tank should not be mixed with ballast water,B,
995,In which of the areas listed is a fire resulting from spontaneous combustion most likely to occur?,Engine room bilges, Paint locker,Battery storage locker,Fuel oil tank,B,
996,Increasing the free surface of a confined liquid has the effect of raising the:,uncorrected ‘KG,virtual height of the center of gravity,metacenter,metacentric height,B,
997,"Inspection and securing the vessel for sea, what to check? I. All movable items on deck, inside accommodation and E/R spaces, including under deck-passages and steering flat must be loosely secured.II. Any unsecured items, in heavy weather, could pose a danger to vessel by violent contact with sensitive equipment or fittingsIII. Any stores or spaces received in port only must be stowed at their designated positions.",I only is true,II only is true,"I, II, and III are true",III only is true,B,
998,IOPP Certificate is issued to oil tankers of not less than _____ gross tons after survey in compliance of Regulation 4 of the Annex to Marpol 1973 as amended in 1978.,1000,150,500,700,B,
999,"It is defined as the deliberate disposal at sea of waste or other matter from vessels, aircrafts, platforms or other man-made structures:",pollution,dumping,jettisoning,all of these choices,B,
1000,It is important to preserve knowledge because:,it makes organization essential  ,it is a foundation of future development ,it stores and protects essentials,it gives organizations a function ,B,
1001,"It is necessary to heat wood and paper only a few hundred degrees Fahrenheit to raise its flashpoint when combustion can take place, hence the easy lighting of  a matchstick. The temperature of a match head after striking is approximately:",100 °F,2000 °F,1000 °F,500 °F,B,
1002,It is the responsibility of the person in charge to:,revise the operating manual when rig personnel change,be fully aware of the provisions in the operating manual,maintain the rig's construction portfolio,All of the choices,B,
1003,It should be remembered that there are two disadvantages of CO2 as extinguishing agent. One of this is the lack of cooling effect on heated materials. The other one is _____.,That it will break down under an extreme heat condition to form toxic gases,The limited quantity available for the space required,That it is ineffective on Class “A” fires even in an enclosed space,It becomes useless in a dead ship condition especially if there is no electrical supply to the CO2 pump,B,
1004,"Items and equipment to protect the marine environment may includethe following, except:",pumps and valves,Inert gas plant,"water management equipment, including: cooling and ballast water and bilge systems",waste storage and recycling equipment,B,
1005,Keel scantling of any vessel are greatest amidships because:,connection between and forebody are most crucial,of maximum longitudinal bending moments,of severest racking stresses,resistance to grounding is at a maximum amidships,B,
1006,Lifeboat hatchets should be:,kept in a locker,secured at each end of the boat with a lanyard,kept next to the boat coxswain,kept in the emergency locker on the ship and brought to the lifeboat when needed,B,
1007,Load line regulations are designed to insure that a ship has adequate structural strength and sufficient.,Lifesaving equipment,Stability,Mooring tension,Riser tension,B,
1008,Management of career is ultimately the responsibility of the:,top manager,individual,"direction, management development",human resource management,B,
1009,MARPOL Regulation on fuel oil tank protection- the regulation is intended to apply to all ships delivered on or after 01 August 2010 with an aggregate oil fuel capacity of_______cubic meters and above:,200,600,800,400,B,
1010,MARPOL Revised Annex I - Prevention Of Pollution by Oil entry into force on:,2 October. 2007,1 January. 2007,01 January. 2008,31 December. 2007,B,
1011,Mathematically speaking a couple requires:,any two forces acting on a body at right angles of each other,two equal forces acting on a body in opposite directions and along parallel lines.,two equal forces acting on a body at right angles in opposite directions.,none of the answer ,B,
1012,Member that fit between the floors of a vessel and stiffen double bottom?,Boss plate, Intercoastal ,Cant frame,Deck beam,B,
1013,Mooring lines constructed of different material have variable elasticity. Which of the following is true concerning their combined use for mooring a vessel? ,The use of lines of varying elasticity together is recommended as a safety measure,Lines of different elasticity should never be used together in the same direction,Lines of different elasticity should always be used together in the same direction,The elasticity of mooring lines is of minor concern at most locations,B,
1014,Nitrogen oxide emissions from vessels were put at about _________ percent of total global emissions.,6,7,8,9,B,
1015,"Officers onboard, in order to achieve effectiveness and efficiency, must possessed the following skills and personal characteristics, except:",Planning and organizing the structure to suit the current needs,Leadership and high tech equipment to compliment,Delegation and control of people within the organization,Decision-making to be firmed and well thought ,B,
1016,"On the Station Bill, you hear three short blasts on the whistle and three short rings on the general alarm bellswhich means:",abandon ship,dismissal from fire and emergency stations ,fire and emergency,man overboard,B,
1017,"Once a fire and emergency drill is conducted, the drill ideally should be critiqued. What of the following statements best describes the essential characteristics of an effective critique?",Determining what went right and what went wrong and identifying areas where change and improvements are necessary to the fire control plan or to the general arrangement plan.,Determining what went right and what went wrong and identifying areas where change and improvements are necessary to the pre-fire plan or to the emergencyskillstraining plan.,Determining what went right only and focusing only on the positive to reinforce effective and productive behavior that promoted team functionality.,Determining what went wrong only and focusing only on the negative in an attempt to extinguish ineffective or counter-productive behavior that worked against team functionality.,B,
1018,"One of the dangers is beaching end on is that cross-winds or currents may swing the ship rapidly into a _________ on the shore, making re-floating very difficult.",Stern-on position,Broadside position,Leeward position,Any of these,B,
1019,Owing to the girth of a ship amidships than at the ends certain strakes are dropped as they approach the bow and stern to reduce the amount of plating at the ends. These strakes are called _________.,drop strakes,stealers,throughs,voids,B,
1020,"Part C, Chapter VI of SOLAS deals with:",General Provision,carriage of grain,radioactive materials,bulk cargoes other than grain,B,
1021,Progressive flooding is controlled by securing watertight boundaries and:,abandoning ship,pumping out flooded compartments,jettisoning cargo,transferring water ballast,B,
1022,Proper effective warming treatment for a crew member suffering from hypothermia is:,running or jumping to create heat,a warm water bath,mouth to mouth resuscitation,hot drink,B,
1023,"Provided every effort is used to preserve body moisture content by avoiding perspiration, how long is it normally possible to survive in a survival craft without stored quantities of water?",Up to 3 days,Up to 14 days,Up to 25 days,Up to 35 days,B,
1024,Quick cleaning strainers are installed in the fire main system at individual fire hydrants to:,prevent rust and foreign matter from entering the system piping,prevent rust and foreign matter from entering the hoses and nozzles,protect the fire pumps from becoming clogged with marine growth,filter out some of the salt in an effort to reduce pipeline scaling,B,
1025,"Reducing the free surfaces within a vessel, reduces the:",metacentric height,natural roll period,waterplane area,uncorrected height of the center of gravity,B,
1026,"Reference SOLAS II-A, Regulation 4, any diesel driven power source for the pump shall be able to start the pump at least __________ times in 30 minutes and at least twice within first 10 minutes.",4,6,3,5,B,
1027,"Referring to the “Unified Interpretation of Annex I” of MARPOL 73/78 , “CBT” means:",Clean Ballast Tank,Dedicated Clean Ballast Tank,Clean Bilge Tank,Certified Barge Tank,B,
1028,"Regulations for the control of pollution by noxious liquid substances in bulk, are stipulated in MARPOL 73/78:",Annex I,Annex II,Annex III,Annex IV,B,
1029,Regulations for the Prevention by Harmful Substances in Package Form entered into force on:,"July 1, 1988","July 1, 1992","July 1, 1998","July 1, 1982",B,
1030,Regulations require that cargo tanks carrying grades D or E liquids on tank barges be vented with:,forced draft blowers,gooseneck vents and flame screens,pressure- vacuum relief valves,branch vent lines and a vent header,B,
1031,Shell plating that has curvature in two directions and must be heated and hammered to shape over specially prepared forms is called:,compound plate,furnace plate,flat plate,rolled plate,B,
1032,Sign(s) of respiratory arrest requiring artificial respiration is(are):,vomiting,blue color and lack of breathing,no pulse,no breathing,B,
1033,SOLAS requires a lifesaving training manual be provided in each crew cabin or in the __________. ,engineering control station,recreation and mess rooms,fire control room,bridge,B,
1034,Strong slip secured to the main framing of the ship's chain that holds the inboard of an anchor chain:,senhouse slip,bitter end,capstan fit,deck gate,B,
1035,Sufficient portable drive heads for a crude oil washing system must be provided in order to avoid one head being used during the tank washing procedure more than:,2 times,3 times,4 times,5 times,B,
1036,Surface burns should first be treated by:,washing the area with a warm soap and water solution,"flooding, bathing, or immersing the area in cool water",covering the area with talcum power and bandaging tightly,leaving them exposed to the atmosphere,B,
1037,The beam of a vessel refers to the:,molded depth of the vessel,width of the vessel,depth between decks,internal cubic capacity,B,
1038,"The best emergency repair to a crack forming in the vessels hull, is to:",drive wedges into the crack,drill the ends of the crack and applying a concrete patch,weld doubler plate over the crack,weld a metal box over the crack and applying air pressure,B,
1039,The best way to combat an engine room bilge fire is through the use of a ________________.,dry chemical extinguisher and solid stream water,foam extinguisher and low velocity water fog,foam extinguisher and solid stream water,foam and soda acid extinguishers,B,
1040,"The breaking strength of the service lines of the rockets used with line throwing appliances is: ",300 lbs,500 lbs ,700 lbs,800 Ibis,B,
1041,The bulkhead deck is _______,the deck that are placed on a foundation that runs athwartship from side to side of the vessel,the deck up to which all main transverse and watertight bulkheads are carried,the partition that divides the vessel into watertight compartments,the deck which a main pillar is mounted below,B,
1042,"The C/P stipulates a Weather Working Day (WWD) of two 8-hour shifts.  If bad weather had interrupted work for four (4) continuous hours during the normal working period of the day, how many hours will count as interrupted lay time?",12 hours,6 hours,18 hours,24 hours,B,
1043,The carbon dioxide cylinders of a fixed fire extinguishing system may be located inside the protected space if the quantity of CO2 required to protect that space is not more than.,100 pounds,300 pounds,600 pounds,900 pounds,B,
1044,The ceilings is ______________.,the overheated in berthing compartments,a wooden protection placed over the tank top,material driven into seams or cracks to prevent leaking,none of the above are correct,B,
1045,The center of underwater volume of a floating vessel is the:,uncorrected center of gravity,center of buoyancy,center of flotation,center of gravity corrected for free surface effect,B,
1046,The chemistry of fire and its relationship to materials typically carried on vessels include which of the following: I. importance of ensuring that fuels are outside their range of flammability II. safety precautions that should be adopted when using fuels with a high vapor density III. risks associated with fuels especially if they result to free surface effect when slack,"I, II, and III are true",only I and II are true,only II and III are true,only I and III are true,B,
1047,The class of fire on which a blanketing effect is essential to extinguish the fire is:,class A,class B,class C,class D,B,
1048,The classification of oxidizing substance is:,Class 6.0,Class 5.1,Class 5.3,Class 5.2,B,
1049,The color of rockets shells or rocket parachute flares used to indicate that the vessel is in distress and requires immediate assistance is:,yellow,red,green,white,B,
1050,"The compliments of a vessel decided by the Maritime Office of Ships administration where the vessel is registered will be stated in which document? ",Documents of compliance,Manning Certificate,Ships Official Logbook,Certificate of Documentation,B,
1051,"The deck load capacity of a compartment into which you intend to load a cargo of soft brick is 380 lbs. per sq. ft. The stowage factor of the brick is 21.3. Disregarding broken stowage, what is the maximum height the brick may be stacked without endangering the structure?",1.7 feet,3.6 feet,5.0 feet,7.1 feet,B,
1052,The difference between the height of the metacenter and the metacentric height is termed:,height of the center of buoyancy,height of the center of gravity,righting arm,metacentric radius,B,
1053,The draft of a vessel is the vertical distance between the keel and:,plimsoll mark,waterline ,freeboard line,aft draft ,B,
1054,The equipment required to be included in the fireman's (emergency) outfit is ______.,approved work vest,self-contained breathing apparatus,five cell approved flashlight,list to stabilize at an angle of loll,B,
1055,The firefighting agents that produces a buoyant blanket to separate the burning vapors from air is ________,CO2,low-expansion foam,water fog,treat for shock,B,
1056,"The function of the small gas accumulator cylinder, attached to the discharge piping of the engine room fixed CO2 system is it:",absorbs the pressure shock to the piping resulting from the initial release of carbon dioxide,delays the release of carbon dioxide into the engine room,controls the rate of discharge of carbon dioxide into the engine room,assume that the shift is due to off center loading,B,
1057,"The highest concentration of a harmful substance to which a person may be exposed without danger to health, is termed the:",odor threshold,threshold limit value,vapor pressure,tolerance point,B,
1058,The hoods over galley ranges present what major hazard? ,They inhibit the effective operation of fire fighting systems in combating deep fat fryer or range fires.,Grease collects in the duct and filter and if it catches fire is difficult to extinguish.,In order to effectively draw off cooking heat they present a head-injury hazard to a person of average or more height.,They concentrate the heat of cooking and may raise surrounding flammable material to the ignition point.,B,
1059,"The horizontal port, or starboard movement of a vessel is called:",yaw,sway,surge,heave,B,
1060,The initial action in the treatment of a person suspected of having airway burns is to:,move him to a cool location,confirm and maintain an open airway,apply cool damp dressing to his neck,have him drink cool liquids,B,
1061,The ISM Code for safety management is one of the tools for implementing a risk-based approach. The management system therefore should _____________.,establish procedures for abandon ship, establish safeguards against all identified risks,establish procedures for oil spill drills,establish procedures for incident investigation,B,
1062,The lateral field of vision of a person wearing an immersion suit when seated in fixed position would be:,90 degrees,120 degrees,180 degrees,360 degrees,B,
1063,The lowest temperature  at which a liquid gives off sufficient vapor to form a flammable to mixture over its surface is termed as:,flammable limit,flash point,saturation point,auto-ignition point,B,
1064,The MAJOR disadvantage in the use of a dry chemical fire extinguisher on an electrical fire is that the _________.,powder conducts electricity back to the fire fighter,the dry chemical leaves a powder residue which may render electrical equipment inoperative,extinguisher will need to be recharged,CO2 will not dissipate in air,B,
1065,The most common type of containment device for spilled oil  on the water is the use of:,straw,booms,skimmers,chemical dispersants,B,
1066,The most effective first aid treatment for chemical burns is to immediately:,apply ointment to burned area,flood the affected area with water,wrap the burn with sterile dressing,apply an ice pack to the burned area,B,
1067,The most essential element in the administration of CPR is:,to have the proper equipment for the process,the speed of treatment,the administration of oxygen,the treatment for traumatic shock,B,
1068,The most excellent beverage for a person suffering from shock is the:,medicinal brandy,hot coffee ,warm water,cold water ,B,
1069,The most frequent incidents of tanker pollution during tanker operations is:,due to collisions,loading and discharging,oil spill,human error,B,
1070,The necessity for administering artificial respiration may be recognized by the victims:,vomiting,blue color and lack of breathing,irregular breathing,unconscious condition,B,
1071,The number of people onboard a vessel must be trained in the use of the fireman's outfit is ________.,one person,two people,three people,four people,B,
1072,The Oil Record Book must be maintained on board the vessel for:,an annual inspection,not less than 3 years after the last entry,5 years,4 years,B,
1073,The organization that certifies the safe working load of cargo cranes on a vessel is the:,U.S.D.A.,classification society,National Cargo Bureau,U.S. Coast Guard,B,
1074,The original equilibrium position is stable when:,metacentric radius is positive,metacentric height is positive,KG exceeds maximum allowable limits,free surface are excessive,B,
1075,The outward curvature of the ship's hull above the waterline is called:,stem,flare,camber,deadrise,B,
1076,The painter of the inflatableliferafthas a length of __________.,25 feet,100 feet,200 feet,400 feet,B,
1077,The physical data term on a Material Safety Data Sheet (MSDS) describing whether a liquid is lighter or heavier than water is:,solubility,specific gravity,viscosity,flotation point,B,
1078,The primary function of an automatic sprinkler system is to:,instantaneously extinguish the fire which triggered it,limit the spread of the fire and control the amount of heat produced,protect people in the areas which have had sprinkler heads installed,alert the crew to the fire,B,
1079,The propellant cartridge of cartridge-operated dry chemical fire extinguishers used on vessels should be weighed every:,six months, 12 months,two years,three months,B,
1080,The proper action or procedure to be done by a first aider to an accident victim before an artificial respiration is to be conducted:,kneel at the side of patient and other hand over tip of breastbone,kneel at the side of patient and place hand heel on lower sternum half,place hand heel on lower sternum half and other hand over tip of breastbone,place hand heel on the upper sternum and kneel side of patient,B,
1081,"The regulations require that inspected vessels on an international voyage, other than small passenger vessels, must carry which of the following distress signals on or near the navigating bridge:",12 hand combination flares and orange smoke signals,12 rocket parachute flares,12 hand red flares,"6 hand red flares, and 6 hand orange smoke signals",B,
1082,The reserve buoyancy of a vessel varies directly with changes in the vessels: ,free surface,freeboard,rolling period,none of the above,B,
1083,The Safety of Life at Sea Convention was developed by the __________. ,American Bureau of Shipping,International Maritime Organization,American Institute of Maritime Shipping,U.S. Coast Guard,B,
1084,The size of the fire hydrant hose connections must be either 1.5 inches or:,1 inch,2.5 inches,3 inches,3.5 inches,B,
1085,The sorting of accident victims according to the severity of their injuries is called:,evaluation,triage,surveying,prioritizing,B,
1086,"The spacing of uprights of timber loaded on deck, shall be of strong angles and metal sockets and spaced out not exceeding __________ meters.",2,3,34,12,B,
1087,The spreading of fire as a result of heat being carried through a vessel's ventilation system is an example of heat transfer by:,conduction,convection,radiation,venting,B,
1088,The steering oar in alifeboatis usually referred to as the __________.,stroke oar,sweep oar,becket oar,bumpkin oar,B,
1089,The strength of a deck will be increased by adding:,camber,deck beam brackets,hatch beams,sheer,B,
1090,The type of head injury in which the skull has received a heavy blow and characterized by momentary  loss of consciousness is called:,avulsion,concussion of the brain,paralysis,sleepiness,B,
1091,"These are steel plates of various sizes, which when joined together from the sides of the ship hull.",Margin plate,Shell plating ,Stealer plate,Bulkheads,B,
1092,"To allow the ship to ride waves with drier decks, the ship must have a ___________.",Flare,Sheer,Bulwark,Roofing,B,
1093,"To determine that a compartment contains sufficient oxygen to sustain life, you should use a/an:",explosimeter,oxygen indicator,fresh air indicator,all of the choices,B,
1094,"To determine the number of inflatable liferafts required on a vessel, you should check the:",Load Line Certificate,Certificate of Inspection,SOLAS Certificate,Stability Letter,B,
1095,To inflate a davit launchedliferaftyou __________.,connect the helium nozzle to the inflation tube,pull the inflation lanyard,connect the hand pump to the inflation tube and pump it up,initially connect the compressed air nozzle to the inflation tube,B,
1096,To prevent oily rags from spontaneously igniting they should be __________________.,kept in nonmetal containers,discarded in a safe container as soon as possible,cleaned thoroughly for reuse,kept in the paint locker,B,
1097,"To use a portable CO2 fire extinguisher, you must FIRST ______.",turn the tank upside down,pull the locking pin,open the valve on the side of the tank, shake thoroughly,B,
1098,Twenty-five hundred (2500) tons of iron ore with a stowage factor of 17 is stowed in a cargo hold. The dimensions of the hold are 55 feet long and 45 feet wide and 35 feet high. What is the height of the center of gravity of the ore above the bottom of the hold?,7.8 feet,8.6 feet,17.1 feet,34.6 feet,B,
1099,UNCLOS required that all flag states take account or give effect to; or implement the relevant rules and standards developed by the:,Maritime Inquiry,International Maritime Organization (IMO),International Shipping Company,Baltic International Maritime Corporation (BIMCO),B,
1100,"Under MARINA Regulation 65 for Philippine Inter-island vessels, how many toilets and bathrooms are required?",1 per 75 Passengers separate from men and women/children,1 per 50 Passengers separate from men and women/children,1 per 25 Passengers separate from men and women/children,1 per 15 Passengers separate from men and women/children,B,
1101,"Under MARPOL Annex V Requirements, the Master or person-in-charge of an oceangoing vessel that intends to discharge medical or hazardous wastes ashore must notify a receiving port or terminal in advance by at least:",Advance notification is not required,24 hours,12 hours,48 hours,B,
1102,"Under the regulations for cargo vessels, which statement is TRUE concerning fireman's outfits? ","If a vessel carries two outfits, they may be stored in the same location.",Each fireman's outfit shall contain a flame safety lamp of an approved type.,Each fireman's outfit shall contain a fresh-air breathing apparatus.,All of the choices,B,
1103,"Under which fire are flammable liquids, gases, grease and other similar products are classed:",Class A,Class B,Class C,Class D,B,
1104,"Unless there is danger of further injury, a person with a compound fracture should not be moved until bleeding is controlled and:",the bone has been set,the fracture is immobilized,tourniquet is tightly establish,any of the choices,B,
1105,Vertical moments are obtained by multiplying a vessel's weight and its:,LCB,VCG or KG,LCG,TCG,B,
1106,What causes the most frequent incidents of pollution during tanker operations?,groundings,loading and discharging,routine discharge of oil during ballasting and tank crude oil washing,collisions,B,
1107,"What certificate verifies that a liquefied gas tanker complies with the requirements with regard to their structure, equipment, fittings, arrangements, and materials? ",Certificate of Fitness for the Carriage of Dangerous Chemicals in Bulk,Cargo Ship Safety Construction,Certificate for the Carriage of Noxious Liquid Substances,International Oil Prevention Certificate,B,
1108,What charging process produces where battery charging rooms should be well ventilated:,Corrosive gases.,Explosive gases.,Highly poisonous gas.,Highly combustible oxygen.,B,
1109,What does the MARPOL 73/78 convention deal with? ,International Marine Organization Gas Carrier Code,International Convention for the Prevention of Pollution from Ships,International Convention of safety of Life at Sea,International Convention on Standards of Training Certification and Watchkeeping,B,
1110,"What extinguishing agent which is very effective in cooling, diluting combustible vapors removing oxygen, and a heat and smoke screen is ______________.",dry chemical, water fog,carbon dioxide, halon 1301,B,
1111,"What form the foundation for the decks, they are situated athwartship from side to side of the vessel?",Garboard strake,Deck beams,Deck beam brackets,Girders,B,
1112,"What is a “Moment”, in terms of stability?",the time taken to perform an inclining experiment,it is the product of force and distance,it refers to the weight loaded daily,the consequence of overloading,B,
1113,What is a document issued to a Company which complies with the requirements of the ISM Code?,Safety Management Certificate,Document of Compliance,Certificate of Documentation,Certificate of Competence,B,
1114,"What is done to ensure that QMS is suitable, adequate and effective?",Internal communication,Management review, Provision of resources,Quality policy,B,
1115,What is not usually a concern when loading a single-hulled tanker?,Bending moments,Initial stability,Trim,Draft,B,
1116,"What is the “Center of Gravity”, of an object?",It is always the center of the object,It is the point at which the whole weight of the object is acting,It is always 1/3 from the base of the object if it resembles a triangle,It is the point where the vessel will trim or oscillate ,B,
1117,What is the immediate actions to be done if a tourniquet was applied as first aid to an open wound severely bleeding on the high seas?,Proceed nearest port,Seek medical advise,Ask for a helicopter,Inform ships nearby,B,
1118,"What is the law which deals with the conduct of states and International organizations, their relations with each other, and in certain circumstances, their relations with persons, natural or juridical which is defined by the modern jurists?",Custom law,International law,Public law,Maritime law,B,
1119,What is the lowest temperature at which the vapor formed from a liquid ignites and continues to burn steadily in the presence of an ignition source?,Flash point,Fire point,Upper explosive limit,Cooling,B,
1120,What is the most common cause of fire in the engine room?,Faulty electrical equipment,Oil leaks and hot surfaces,A rigid survival craft is in the area ,There is burning oil on the water,B,
1121,What is the most common type of containment device(s) for spilled oil on water?,Straw,Booms,Shovel,Rags,B,
1122,What is the most ideal time interval in conducting fire and boat drill on every vessel?,Bi-monthly, Weekly,Bi-weekly,Monthly,B,
1123,What is the period of validity of a Safety Management Certificate? ,42 months,60 months,48 months,36 months,B,
1124,What is the period of validity of the SOLAS required Cargo Ship Safety Construction Certificate?,72 months,60 months,48 months,42 months,B,
1125,What is the purpose of the hydrostatic release on an inflatableliferaft?,To inflate the raft automatically,To release the raft from the cradle automatically as the ship sinks,To test the rafts hydrostatically,To assist the release of the raft from the cradle,B,
