Table 1
FUNCTION 2: CARGO HANDLING AND STOWAGE AT THE DECK OPERATIONAL LEVEL,,,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer,
751,A well in the uppermost deck of a shelter deck vessel which has only a temporary means of closing for the purpose of gaining from tonnage measurement is called a (n):,exemption space,tonnage opening,cofferdam,tonnage deck,B,
752,A wet cargo refers to:,a cargo that will be damaged if it gets wet,liquids in containers,bulk liquids,cargoes that will cause condensation,B,
753,A wooden plug fitted tightly in the vent of a damaged tank may prevent the tank from:,overflowing,filling completely,collapsing,develop free surface,B,
754,Ability of a ship to return to the upright when it has been forcibly heeled by an external force and is momentarily at rest when floating in still water.,righting moment,transverse statical stability,transverse moment of stability,transverse stability,B,
755,"Ability to be drawn out lengthwise, the amount of the extension measures the ________________.",malleability,ductility,plasticity,fatigue,B,
756,"According to regulations, access to a cargo pump room in a tank vessel carrying grades C or D liquid cargo shall be:",from areas equipped with power ventilation,from the open deck,from within the vessel,only from enclosed areas free from sources of vapor ignition,B,
757,"According to regulations, ethylene oxide shall be loaded at a temperature below:",90deg. F,70deg. F,51deg. F,its flash point,B,
758,"According to regulations, which grade(s) of cargo may be carried in tanks that are vented only with gooseneck vents and flame screens:",B only,D or E,C or D,B or C,B,
759,"According to the Chemical Data Guide, epichlorohydrin is a(n):",corrosive,class B poison,oxidizer,explosive,B,
760,"According to the Chemical Data Guide, what is NOT a recommended extinguishing agent for an ethyl chloride fire?",CO2,Alcohol foam,Dry chemical,Water fog,B,
761,"According to the IMDG Code, “over stowed” means:",all choices,a packaged or container is directly stowed on top of the other,a packaged fully packed without allowance for ventilation,a package weight on which exceeds allowable limit,B,
762,"After allowing for pressure losses, the pressure-volume capacity of an inert gas blower must be able to maintain a pressure, in any cargo tank, at a minimum of:",50 millimeters of water pressure,100 millimeters of water pressure,150 millimeters of water pressure,200 millimeters of water pressure,B,
763,All the ferrous components of a ship will sustain strong corrosive action in the presence of:,turbulent water,acid waters,steam,alkaline waters,B,
764,An angle created by the shift of grain is termed ________,grain heeling moment,angle of repose,angle of loll,angle of heeling ,B,
765,An angle of heel where G is on the ship's centerline and the transverse GM is zero is called ______,angle of heel,angle of loll,angle of trim,angle of repose,B,
766,An example of a grade B product is:,mineral spirits,piperyline,kerosene,motor gasoline,B,
767,An example of damage caused by inherent vice is:,stevedore damage,heating of grain,wear and tear,tainting,B,
768,"An inert gas system incorporating a separately fired inert  gas generator shall be provided with visual and audible alarms to indicate failure of the power supply to the generator, the automatic control system, and:",cooling water flow,insufficient fuel supply,high sea water temperature,combustion air temp too low,B,
769,An item of mooring equipment used to maintain or change the direction of a rope or wire in order to provide a straight lead to winch drum.,Panting,Fairlead,Topping wire,Windlass,B,
770,Are cargoes for which the ship is provided with an approved securing system based upon cargo units of specific types.,Bagged cargo,Standardize cargo,Non-standardize cargo,Semi-standardize cargo,B,
771,Are we allowed to load ammonia on inert gas?,We are allowed to load ammonia on inert gas if the inert gas has dew point less than 0oC,We are not allowed to load ammonia on inert gas,We are not allowed to load ammonia on inert gas except when the inert gas is dry enough,Ammonia can be loaded as long as the cargo tank is liquid free of last cargo,B,
772,Area of ship's midship section divided by the cross sectional area of the river is called ________.,block coefficient,blockage factor,coefficient of fineness,midship coefficient,B,
773,"As per the IMDG code, Coal that has shown itself liable, or may be liable to spontaneous heating is at:",Class 1.5,Class 4.2,Class 4.1,Class 5.2,B,
774,"Aside from being dry and free from dirt and foul odor, what must be determined when inspecting cargo hold before taking any cargo?",Ballast condition,Watertight integrity,Draft,All of the choices,B,
775,Bale capacity compared to grain capacity is:, More,less,the same,dependent on the stowage factor,B,
776,Ballasting the double bottom tanks ______________,will increase the height of the center of gravity above the keel,will increase the transverse stability of the vessel,will increase the metacentric radius of the vessel,will allow the vessel to load cargo to its maximum capacity ,B,
777,Because of their __________ certain cargoes should be segregated.,Destination,Inherent characteristics,Weight,Danger to human,B,
778,"Because reserve buoyancy is a very important factor in determining a ship's seaworthiness, what will ensure that there is adequate reserve buoyancy at all times.",maximum freeboards,minimum freeboards,loadline certificate wit statutory markings,summer draft not to overload,B,
779,Before entry into a cargo tank which has contained a petroleum product:,adjacent tanks must be empty,the tank must be tested for sufficient oxygen,static electricity must be measured,the tank must be filled with fresh water and emptied,B,
780,"Before loading, what are the Container stowage precautions?       I. Container shall be stowed in accordance with their true value so as to avoid over-stowage/ re-handling.      II. Dangerous Goods shall be properly stowed and segregated as per IMDG Code      III. Refrigerated cargo shall be stowed in position where ships power supply available",only II is false,only I is false,only III is false,"I, II, III are all true",B,
781,Break-bulk cargoes are:,Cargoes that are directly loaded into cargo hatches in bulk,Heterogenous ,Cargoes that can easily be loaded into cargo tanks by using powerful centrifugal pumps,All of the above,B,
782,Bulbs of pressure that build up around a moving vessel and disappear when vessel stops. ,wake pressure,pressure bulbs,cats paw ripples,Bernoulli's force,B,
783,Bulkheads which form part of the tanks are stiffened to withstand:,over - pressurization,hydrostatic pressure,deck loads from above,dynamic forces while afloat,B,
784,By definition  an example of a flammable liquid is:,kerosene,gasoline,caustic potash,animal and vegetable oils,B,
785,Cargoes loaded of the different density throughout.,bulk cargoes other than grain    ,Heterogeneous cargo,Homogeneous cargo              ,Grain cargo,B,
786,Cargoes reference within the IMDG Code may be anticipated to be:,needing under deck stowage, of a hazardous nature, of a high flash point,a spontaneous combustion risk,B,
787,Cargoes that are highly susceptible to damage by tainting from odorous cargoes are called:,clean cargo,delicate cargo,dry cargo,immune cargo,B,
788,Cargoes that might leak from containers are called:,bulk cargoes,wet cargoes,caustic cargoes,dirty cargoes,B,
789,"Close link chain of not less the 3/4"" (or the wire rope equivalent) is required for lashing deck cargoes of timber. What size flexible wire rope would provide the strength equivalent to 3/4"" chain, using a safety factor of 5? ","9/16""","1""","1 1/4""","1 3/8""",B,
790,Closed freight containers and closed cargo units are used in the shipment of freight. Which of the following defines these terms?,A freight container in which the contents are enclosed by rigid surrounding walls,A freight container in which the contents are enclosed by permanent structures,"A freight container in which the contents are enclosed by fabric sides, top and secured with a locking cable",A freight container in which the contents are enclosed by permanent structures on the sides and a plastic or fabric ,B,
791,"Container vessels is fitted with a bulkhead at intervals of ________ , center to center with watertight bulkheads being fitted as required by the rules.",20.7 meters,14.7 meters,12.3 meters,40 feet,B,
792,Corresponds approximately to the angle of deck edge immersion is the _______,multiplication of displacement by maximum GZ,angle of maximum stability,indication by the slope of the curve at the origin,intersection of stability curve with baseline,B,
793,Corrosive liquids and acids should have which kind of label?,Skull and crossbones,White and black,Yellow and white,Red and white,B,
794,Damage caused by excessive heating within the cargo is classified as:,crushing damage,inherent vice damage,tainting damage,vermin damage,B,
795,"Damaged bulkheads often take a permanent set which is independent of the panting or bulge caused by water pressure. To control this, you should:",place sandbags by the bulkhead without installing shore,install shoring so the shoring supports the damaged bulkheads without pushing on them,install shoring so that it pushes on the damaged bulkhead while supporting it,use jacks or chain falls to remove the set before installing shores,B,
796,Dangerous cargo on a pallet should be stowed:, below deck aft,on deck,in a secure container,below deck forward,B,
797,Deficient oxygen content inside a confined space can be detected with:,a combustible gas indicator,an oxygen indicator,an oxygen breathing apparatus,litmus paper,B,
798,"Describe how a cargo hold should be prepared to load a cargo of rice in bags after completion of discharging a cargo of coal, except:","a cargo hold must be properly cleaned and prepared and all compartments, including sides, stringers, pockets, brackets, etc, must be clean, swept, well ventilated and dried.","Rust and scale which might contaminate the cargo must be removed, paint and lime wash may not be applied as appropriate to avoid the direct contact of scaled ship side.","All the bilge well should be clean and free from any last cargo residual, bilge water and moisture","If there is any sign of insect infestation or small vermin, rats or mice, these must be attended to either by spraying with appropriate insecticide or by sealing the holds and fumigating with some approved type of smoke bomb. ",B,
799,Determine whether the following statements are TRUE or FALSE?      I. The separation of odorous and sensitive cargo into separate airtight compartment would prohibit tainting      II. An odorous cargo may not leave a well tainted atmosphere behind after discharge,I and II are true,Only II is false,I and II are false,Only I is false,B,
800,Distortion of a vessel structure caused by rolling is called:,slamming,Racking,pounding,heaving,B,
801,"During loading dangerous goods, the documentation is incomplete regarding stowage and classification details. The deck officer should:", reject the cargo altogether,obtain full documentation before loading,accept the cargo but make a log entry,request the missing details before sailing,B,
802,"During loading, what is the minimum pressure required to be maintained by the inert gas system on cargo tanks?","2"" water gauge","4"" water gauge","20"" water gauge","40"" water gauge",B,
803,"Each inert gas system must be equipped with the following instruments:  oxygen concentration indicator and recorder,  pressure indicator and recorder, and temperature indicator. The point of measurement for these instruments must be located:",after the gas regulating valve,downstream of the blowers,scrubber outlet,upstream of the liquid filled breaker,B,
804,Find the thrust on a keel plate 10m x 2m when the draft of the ship is 5m in salt water?,120.5 tonnes,102.5 tonnes,150.2 tonnes,205.2 tonnes,B,
805,Find the TPC in sea water of a vessel whose length and breadth of the waterplane at a particular draft are 130 meters and 23 meters respectively. Waterplane coefficient is 0.84.,29.90,25.74,24.38,25.12,B,
806,"For all conditions of loading, it is the lightweight plus any deadweight is called _________",deadweight displacement,displacement,gravitational pull of the Earth acting on the vessel,deadweight,B,
807,Founder is defined as the ___________________,condition of the vessel where her available intact buoyancy is breached thereby causing the vessel to sink,condition of the vessel where there is loss of reserve buoyancy causing the vessel to sink,condition of the vessel where the vessels center of gravity rises immediately causing the vessel to flop to one side,is the triangular metal mounted on the bulbous bow in order to reduce wake,B,
808,Framing within the double bottom is to be either longitudinal or transverse. The framing must be longitudinal in _____________.,"ships over 180 m in length and when the notation ""Bulk Cargoes"" is assigned","ships over 120 m in length and when the notation ""Heavy Cargoes"" is assigned","ships over 200 m in length and when the notation ""Ore Bulk Cargoes"" is assigned","ships over 100 m in length and when the notation ""High Density Cargoes"" is assigned",B,
809,"From the hydrostatic table, the LCF, MTC, TPC and LBP are 98 cm, 51 tonnes, 50 tonnes and 180 m, respectively. Find her trim if after the draft survey calculation, her first trim correction is 65 tonnes. ",2.34 meters,2.39 meters,2.65 meters,2.08 meters,B,
810,Full inclination on one side to the next full inclination on the same side,rolling period of the waves,period of roll of the vessel,inclining experiment,zero inclination to the next zero inclination,B,
811,Grade D liquids are those having flash points of:,80°F or less,greater than 80°F and less than 150°F,150°F or greater but less than 212°F,212°F or greater,B,
812,Gross tonnage indicates the vessel's:,displacement in metric tons,volume in cubic feet,total weight including cargo,draft in feet,B,
813,How are double-bottom tanks filled?,They are pumped in,They are gravitated in,They are pumped out,They are gravitated out,B,
814,"How does ""Righting lever"" behave when vessel is heeled?",GZ increases to some maximum value until it reaches the vanishing point,GZ increases to some maximum value and then decreases as the ship heels further,GZ decreases at first then increases to maximum value as the ship heels further,GZ increases at 40 degrees heel always then decreases as the ship heels further,B,
815,How long is the standard container used to measure equivalent units?,10 feet (3 meters),20 feet (6 meters),35 feet (11 meters),40 feet (12 meters),B,
816,"How many board feet of dunnage are in draft 4 ft wide, 1.5 ft high and 13 ft long?",756,936,84,1021,B,
817,"How many board feet of dunnage would you estimate to be in a pile 5 feet wide, 1 foot high and 14 feet long?",70,840,960,"1,080",B,
818,"How should inerted tanks cleaned and made gas free in a VLCC prior to dry-docking?      I. Gas freeing may be effected by pneumatically, hydraulically or steam-driven portable blower or by fixed equipment, such tank should be isolated to avoid IG to be entered from IG main.      II. Care must be taken to prevent the leakage of air into inerted tank or of inert gas into tank which are being gas-freed.      III. The tanks will be cleaned by fixed/ portable machines connected to long hose that are fed with washing agent from tank cleaning main on deck",I and II only,"I, II and III",II and III only,I and III only,B,
819,How should securing of containers on non-container ships be done?       I. Secure to protect them from siding and tripping. Hatch covers carrying containers should be secured to the ship       II. Lashing consist of wire ropes or chains with enough strength and elongation ability       III. Timber shoring should not exceed 2 m in length,"I, II, and III",II and III,I and II,I and III,B,
820,How should you signal the crane operator to stop:,With both arms extended out and palms down move arms back and forth.,Extend arm with the palm down and hold this position rigidly.,Clasp hands in front of your body.,Place both fists in front of your body with the thumbs pointing outward.,B,
821,How should you signal the crane operator to use the whip line:,Use one hand to give any motion signal and place the other hand motionless in front of the hand giving the motion signal.,First tap your elbow with one hand   and then proceed to use regular signals.,Extend arm with the thumb pointing up and flex the fingers in and out for as long as the load movement is desired.,First tap the top of your head with your fist   and then proceed to use regular signals.,B,
822,"How will you recognize that a list is caused by ""Gravity"" being off the centerline?",Vessel assumes a temporary list to one side only,If a positive metacentric height is known to exist,Vessel has an unusual rolling period about this list,If known weight is in excess on the centerline,B,
823,"How would ballast water in a segregate ballast system be discharged in an emergency, in the event the discharging system of the ship breaks down?",Connect the SBT discharging hose to the ship's fuel pumping system,Connect the SBT connect with a non-return valve to a cargo pump through a portable spool piece,Connect the GOC discharging hose to the ship's fuel pumping system,Connect the GBT discharging hose to the ship's fuel pumping system,B,
824,How would you ventilate your cargo holds when sailing from hot climate to cold climate?,No ventilation should be done,Ventilate excessively,Ventilation only during night time,Ventilate only during day time,B,
825,Hygroscopic cargoes should be ventilated when __________.,the outside dew point is 60deg.F and the cargo temperature is 54deg.F,going from a warm to a cold climate,the dew point of the air in the hold is very low,the dew point of the outside air is greater than the dew point of the air in the hold,B,
826,If an attempt is made to hoist a load that exceeds the capacity of an electric winch  an overload safety device causes a circuit breaker to cut off the current to the winch motor:,when the line pull reaches 99% of the rated winch capacity,after the line pull exceeds the rated winch capacity,after a short build-up of torque,immediately,B,
827,"If bunker fuel is loaded in the deep tank, what will happen?",KG increases,freeboard decreases,GM decreases,negative stability occurs,B,
828,"If deck cargo is carried, it should be stowed in such a way that it:",is now higher than 12 inches above the deck,does not block access to the fire station hydrant,will cover no more than 25 percent of deck space,will be easily visible from the bridge,B,
829,"If the first layer of dunnages are laid down in a fore and aft direction inside the cargo hold, what's the purpose? ",to add strength to the hold structure when receiving cargoes inside the cargo hold,for draining condensation since wells are located in the after end of the hold,to spread the weight of the cargo evenly inside the cargo hold to avoid stress from developing unevenly,to avoid the cargo from coming in contact with the steel structure of the cargo hold,B,
830,If the Mean Buoyancy Moment exceeds the Mean Weight Moment then the ship will _____.,hog,sag,shear ,twist,B,
831,If the natural scale of a general arrangement plan is 1:200. What is 70 centimeters measurement from Hold No. 1 to Hold No. 5 equivalent to?,140 centimeters,140 meters,"14,000 meters",70 meters,B,
832,"If you increased the number of slack liquid tanks, it will have the effect of raising the:",metacentric height    ,virtual height of the center of gravity    ,uncorrected KG,metacenter,B,
833,"In a buttress securing system, containers of varying heights must be stowed:",on the bottom tier on deck,on the top tier,next to a buttress tower,inside the hold,B,
834,"In a container vessel, what is TRUE concerning the handling and stowage of containerized hazardous materials?","A portable cargo tank of a flammable, cryogenic liquid may not be in transit for a period exceeding its marked rated holding time unless the liquid is inhibited.",Open-bed containers may be used to transport hazardous materials if the cargo is properly secured.,A portable cargo tank containing a cryogenic liquid must be shipped on deck unless forced ventilation is provided to the tween-decks.,"A container loaded with packages of tear gas would display a placard reading ""Irritant.""",B,
835,"In a longitudinally-framed ship, the longitudinally  frames are held in place of and supported by athwartship members called:",margin plate,web frames,floors,stringers,B,
836,"In a ship construction, it is the outer strake of the inner bottom on each side of the ship is:",rider plate,margin plate,outer plate,stealer plate,B,
837,"In case of vehicle ferry, the vertical center of gravity of compartments designated for the carriage of vehicles shall be based on ______.",volumetric centers of the compartments,estimated centers of gravity of the vehicles,information provided in the hydrostatic table similar to other vessels,one meter above the loading deck bay area,B,
838,"In large cargo holds, it will reduce broken stowage and such an arrangement may be referred to as ________.",corrugated non watertight bulkhead,massed pillaring,tubular girders,wedged bulkhead,B,
839,In larger tankers all framing is _________________.,transverse and is supported by watertight bulkheads 15 m apart,longitudinal and is supported by large transverse 3m to 5m apart,longitudinal and is divided every 20 meters of transverse support,a combination of girders and floors as well as transverse web,B,
840,"In offshore supply vessels, the Code of Intact Stability covered by IMO Instruments state that a minimum freeboard at the stern of at least __________ should be maintained in all operating conditions.",0.003 x B,0.005 x L ,1/5 of summer draft,1.5 x LOA,B,
841,"In passenger vessels, a mass of ________ should be assured for each passenger, but may be reduced to not less than ____ where this can be justified.","85 kg and 70 kg, respectively","75 kg and 60 kg, respectively","70 kg and 60 kg, respectively","65 kg and 55 kg, respectively",B,
842,"In preparation for receiving chilled reefer cargo, the reefer space has been pre-cooled for every 24 hours. Loading may begin when the space has been cooled to a temperature between:",-10 deg F and +10 deg F,28 deg F and 40 deg F,12 deg F and 20 deg F,42 deg F and 55 deg F,B,
843,"In ship construction, keel scantlings should be greatest:", at each end, amidship, one-third the distance from the bow, one-third the distance from the stern,B,
844,"In tanker operations, a tank drop is _______________.",the piping that routes the oil cargo from the manifold to the under deck pipelines ,the piping that routes the oil cargo from the manifold directly to a cargo tank and serves only one tank.,the piping that is connected by a cross-over valve so as it will pass the pump-room,the piping that 6 inches in diameter that is will start from the manifold until it reaches the branch line.,B,
845,"In tanker operations, the stripping system is designed to:",discharge the bilge water in the engine room passing the OWS before it is release in the water,discharge liquid left in the cargo tanks after the main pumps  have discharged the bulk,maintain the temperature of the cargo throughout the vessel,increase the loading rate of the shore side pumps,B,
846,"In this condition, the vessel is progressively heeled from the upright within small angles of inclination. The initial transverse metacenter is at the same height as gravity.",stable condition,neutral condition,unstable condition,angle of loll condition,B,
847,In what way can a vessel be considered legally unseaworthy due to improper cargo stowage?,"if the cargo is stowed on deck is light, thus resulting in the vessels gravity to rise sharply",if she continues to receive cargo while stowage is unsymmetrical distributed,if cargo gears are defective,if the bearings of the head block are worn out and still being used by the cargo officer,B,
848,It corresponds approximately one-half the angle of deck edge immersion.,angle of dangerous list (due to negative GM),angle of dangerous list (off center weight only),angle of dangerous roll,deck edge immersion angle,B,
849,It is a method of using timber to secure cargo by running the timber from an upper support down to the cargo either vertically or at angle is called:,lashing,tomming,staging,dunnage,B,
850,It is the distance from the upper edge of the summer load line to the upper edge of the deck line.,summer freeboard,statutory freeboard,freeboard,legal freeboard,B,
851,It is the lowest temperature at which a vapor mixture starts to condense.,boiling point,dew point,  critical point,bubble point,B,
852,It is the rise of the bottom shell plating above the horizontal base line measured at the ship's side. The object is to provide for the drainage of liquids to the ship's centerline.,rise of bottom,rise of floor,margin plate ,tank top,B,
853,It is the stress within the a material which tends to break the material across.,breaking stress,shearing stress,bending stress,torsional stress,B,
854,It should be noted that the least stable of the six motions are __________ while the other motions have a relatively high degree of stability.,surging and pitching,rolling and yawing,swaying and surging ,pitching and rolling,B,
855,Liquid will flow by itself into the suction side of the cargo pump due to ______________,the Gravity of the centrifugal pump itself,the pull of the earth,Force inside the pump     ,Liquid inside the pump              ,B,
856,MacGregor style hatch covers are secured against unwanted movement by:, a jacking block, eccentric wheels,side securing lugs,eccentric wheel locking pins,B,
857,"Most liquefied gas cargoes are flammable, and are carried at or close to their boiling point. What will happen if they are released into the atmosphere?",Result in sloshing in the tank which could make the ship unstable,"Burn, if it's within its flammable range and has an ignition source",Freeze and possibly cause structural damage,Allow air to enter the system causing polymerization,B,
858,Name one major advantage of transporting gas under refrigeration:,It has more product per volume.,It reduces its volume.,It has less product per volume.,It increases its volume.,B,
859,Odorous cargoes are those that __________.,are susceptible to damage by tainting,give off fumes that may damage other cargoes,"are liquid, but in containers",are exceptionally dusty and leave a residue,B,
860,"On  the cargo manifest, the gross weight of a box containing cargo is the weight of the:",box only,cargo and box,cargo only,tare weight only,B,
861,On a manned vessel transporting hazardous materials what is the frequency of required inspections of cargo holds where the materials are stowed?,Once every 24 hours after periods of heavy weather and prior to discharging the cargo,"Upon completion of loading, and  after periods of heavy weather unless the hold is equipped with automatic smoke/fire monitoring capability","Upon completion of loading, and at least once every 24 hours thereafter if the hold is equipped with automatic smoke/fire monitoring capability",Once every 48 hours weather permitting,B,
862,"On board a general cargo vessel, a cargo that is of high value that is easily pilferable is considered…",Ad Valorem Cargo,Special Cargo,High Cube Container,Container Vaulted Cargo (CVC),B,
863,On passing from a warm climate to a cold climate the hold should be:,it does not matter,ventilated,not ventilated,kept shut,B,
864,"On your vessel, a wire rope for the cargo gear shows signs of excessive wear and must be replaced. In ordering a new wire for this 10-ton boom, what safety factor should you use? ",Three,Five,Six,Seven,B,
865,"Onboard a Ro-Ro vessel many decks are used for the carriage of both rolling and container cargoes, as such it is most useful if a deck socket accepts both __________.",container locks and bridge fittings,twist-Locks and lashing hooks,bridge fittings and lashing hooks,twist-locks and container locks,B,
866,"Once a vessel has loaded packaged hazardous cargo, the cargo spaces shall be inspected. The spaces shall also be inspected at least once in every 24 hours. The only exception to daily inspection is when __________.",there is sufficient fire protection located on the main deck adjacent to the cargo hatch,a vessel is equipped with an automatic smoke or fire detecting system,the cargo hatches are of steel construction,the cargo is of a nonflammable type,B,
867,Overcarriage is best prevented by:,stowing the cargo which is to be discharged last on the bottom,inspection of the hold at completion of discharge,checking the vessels load line calculations carefully,assuring heavy cargo is stowed low in the vessel,B,
868,"Part of a typical stockless anchor which is ""flat face of the fluke and forces the fluke to dig in"" is the _________",pea or bill,tripping palm,arm shank,Jew's harp,B,
869,Passenger ships are constructed based on SOLAS requirements predominate in relation to: I. Subdivision; II. Intact and damaged stability; III. Accessibility; and IV. Structural fire protection,"I, II and III","I, II and IV ","II, III and IV","I, II, III and IV",B,
870,Permissible length is defined as:,percentage of the total surface area that can be occupied by water caused by damage,"maximum length allowed between main, transverse bulkheads on a vessel",length which can be flooded that will not cause the ship to sink,is the length allowed by the administration to extend the vessels length if necessary,B,
871,"Planning for a heavy lift, the preferred derrick type would be:", hallen swinging, stuelchen,velle,deadman”,B,
872,"Portholes, below the freeboard deck, are provided with a covering which fastens onto a rubber gasket to ensure watertightness in the event of the glass being broken. ",metal dog fittings,steel deadlight ,side scuttles ,circular metal cover,B,
873,"Railway iron as far a possible should be stowed ________. ",bedded on softer cargo,fore & aft,athwart-ships,on deck,B,
874,"Regarding the loadline rules governing vessels, which statement is correct?","""WNA"" is assigned to vessel less than 100m in the Aleutian waters","ships over 100 m will load to the ""W"" mark as appropriate","ships less than 100 m will load to the ""W"" mark as appropriate",summer loadlines must always apply in all waters the whole year,B,
875,Regulations require that cargo tanks carrying grades D or E liquids on tank barges be vented with:,forced draft blowers,gooseneck vents and flame screens,pressure- vacuum relief valves,branch vent lines and a vent header,B,
876,Repairing damage to the hull of a vessel at or above the waterline reduces the threat of:,free surface effects,continued progressive flooding,capsizing the vessel,wind overturning moments,B,
877,"Rigging a Jumbo Derrick for a heavy lift, which of the following is standard practice?",To ensure an aft trim, To put winches in double gear,To discharge ballast,To slacken preventer backstays,B,
878,Roll amplitudes may be reduced by up to 35 % and are therefore a very cost-effective means of limiting roll amplitude.,stabilizer fins fitted along the sides,Bilge keels should be fitted throughout the length of the parallel mid-body,passive stabilizing tanks,flume tank,B,
879,Ships that carries liquid in bulk are _____________,Type B ships,Type A ships,Type C ships,Type D ships,B,
880,Shoring under a deck load is usually required when the deck load exceeds how many pounds per square foot?              ,200,350,500,100,B,
881,"Suppose the drafts at the AP, Amidships and FP were 8.994 m, 8.797 m and 8.517 m, respectively. The LCF was 0.37 m forward of amidships with an LBP of 143.5 m, find the quarter mean draft.",8.776 m,8.787 m,8.756 m,8.877 m,B,
882,"Tankers carrying cryogenic cargoes, such as LNG, are fitted with gas detector systems alarmed at 30% of the lower explosive limit. If the gas detector alarms sounds, this means __________.",the detector is sampling a space in which 30 percent of the atmosphere is explosive,"a flammable vapor concentration exists at the sample point, but it is too lean to burn",an explosion is about to take place,the detector sensor is sampling a space where the cargo vapor concentration is 30 percent by volume,B,
883,Tanks that are fitted with web frames not more than 5 frames apart. A centerline bulkhead must also be fitted.,cofferdams,deep tank,tank top,heeling tank,B,
884,The “Rolling Motion” of the vessel is the reason why:,Securing System in Tanker Vessels are instituted in order to prevent Oil Cargo from spilling,Securing System for containers to prevent container movement,The vessel having a short rolling period has small righting arm,All vessels are fitted with anti-rolling fin stabilizer,B,
885,The amount of water that can enter a bilged compartment is termed ________.,flooding,permeability,free communication,added weight method,B,
886,"The approximate rolling period of a dry cargo vessel with GM 3.0 ft, beam 60 ft is:",14 seconds,15 seconds, 9 seconds,25 seconds ,B,
887,The area under s statical stability curve multiplied by the ship's displacement is termed ___________.,statical stability,dynamical stability,area under GZ curves,area under statical stability ,B,
888,"The best emergency repair to a crack forming in the vessels hull, is to:",drive wedges into the crack,drill the ends of the crack and applying a concrete patch,weld doublers plate over the crack,weld a metal box over the crack and applying air pressure,B,
889,"The cargo hatches of a cargo vessel should be opened to the atmosphere, especially for hygroscopic cargoes, if the _____________.",The dew point of the outside air is greater than the dew point of the air in the hold,The dew point of the cargo hold is greater than the dew point outside,The outside dew point is 60°F and the cargo temperature is 54°F,The dew point of the air in the hold is very low,B,
890,The classification of infectious substances is:,class 1,class 6.2,Class 5.7,Class 5.8,B,
891,The classification of oxidizing substance is:,Class 6.0,Class 5.1,Class 5.3,Class 5.2,B,
892,"The deck load capacity of a compartment into which you intend to load a cargo of soft brick is 380 lbs. per sq. ft. The stowage factor of the brick is 21.3. Disregarding broken stowage, what is the maximum height the brick may be stacked without endangering the structure?",1.7 feet,3.6 feet,5.0 feet,7.1 feet,B,
893,The depth  of a petroleum product from the tank datum to the liquid surface is termed as ____,innage,ullage,thievage,outage,B,
894,The difference between the drafts at the Forward and After Perpendiculars is the _________,actual trim,true trim,apparent trim,trim,B,
895,The difference between the height of the metacenter and the height of the center of gravity is:,metacentric radius,metacentric height,righting arm (GZ),height of metacenter above gravity,B,
896,The distance from the bottom of the keel to the deck line.,Draft of the ship,Depth of ship,Ship's freeboard,Height of the ship,B,
897,The first consideration when discharging oil cargo is to __________.,get the bow up as the suction bellmouth are located forward ,trim by the stern, discharge from the centerline tanks first,  discharge from amidships first,B,
898,The IMO regulations for Timber Deck Cargoes require:,lifelines to be rigged on the port and stbd sides, a taut lifeline on the ships C/L, lifelines to be made available if required, lifelines to be of manila,B,
899,"The initial trim of the vessel is 32 cm by the head. After moving an unknown weight 120 meters from forward to aft, her final drafts are 6.22 m F and 6.62 m A. Find the  unknown weight if the MTC is 280.",19 tonnes,168 tonnes,74 tonnes,1.68 tonnes,B,
900,The joint formed when two steel plates are placed end to end.,Bevel        ,Butt     ,Seam,Bond,B,
901,The lashings on a stack of containers with interlocking fittings restrain the forces that cause __________.,crushing,racking,toppling,buckling,B,
902,The length and width of space is directly proportional to _____________,the loss of reserve buoyancy,the effect of free communication,the permeability of the damaged compartment , the effect of free surface,B,
903,"The length of your vessel is 480 feet, draft is 18 feet 7 inches forward and 22 feet 3 inches aft.  TPI is 46, MCTI is 1,130 ft-tons, CF is at amidships.  A weight of 100 tons is loaded 180 feet forward from amidships.  Solve the change of trim.", 7.97 in.,15.93 inches by the head, 15.93 in. by the stern,7.97 feet,B,
904,"The length of your vessel is 480 feet, draft is 18 ft. 7 inches forward and 33 ft. 3 inches aft.  TPI is 46, MCT1 is 1130 ft-tons, CF is at amidships.  A weight of 100 tons is loaded forward from amidships.  Calculate parallel sinkage.",21.7 feet,2.17 feet,21.7 inches,2.17 inches,B,
905,"The lesser the flashpoint temperature of a petroleum product, the __________.",liquid petroleum requires less heat to ignite,vapor above the liquid requires less heat to ignite,gas will immediately contract because of low temperatures,petroleum liquid will remain fluid ,B,
906,The Lost Buoyancy Method in Damage Stability is:,"if a compartment is taking in water, the volume of water is then lost and should be subtracted from the existing displacement",After the vessel is damaged the water inside the compartment has free communication with the outside,"As soon as water enters any compartment of the vessel, then there is lost of buoyancy",The vessel will have a sudden increase in freeboard as the volume of intact buoyancy is breached,B,
907,The lowest temperature at which a liquid will give off sufficient vapors to form a flammable mixture with air is known as the:,lower explosive limit,flash point,threshold limit value,fire point,B,
908,"The metacentric height of your vessel is 1.12 ft.  Her displacement at summer draft is 35,000 tons, her beam is 60 feet.  Find her rolling period.",10 sec., 25 sec.,30 sec.,35 sec.,B,
